verb_id,person,plural,formal,tense_id,value,english_participle
1,1,FALSE,FALSE,1,como,eat
1,2,FALSE,FALSE,1,comes,eat
1,2,FALSE,TRUE,1,come,eat
1,3,FALSE,FALSE,1,come,eats
1,1,TRUE,FALSE,1,comemos,eat
1,2,TRUE,FALSE,1,coméis,eat
1,2,TRUE,TRUE,1,comen,eat
1,3,TRUE,FALSE,1,comen,eat
1,1,FALSE,FALSE,3,comí,ate
1,2,FALSE,FALSE,3,comiste,ate
1,2,FALSE,TRUE,3,comió,ate
1,3,FALSE,FALSE,3,comió,ate
1,1,TRUE,FALSE,3,comimos,ate
1,2,TRUE,FALSE,3,comisteis,ate
1,2,TRUE,TRUE,3,comieron,ate
1,3,TRUE,FALSE,3,comieron,ate
1,1,FALSE,FALSE,2,comía,used to eat
1,2,FALSE,FALSE,2,comías,used to eat
1,2,FALSE,TRUE,2,comía,used to eat
1,3,FALSE,FALSE,2,comía,used to eat
1,1,TRUE,FALSE,2,comíamos,used to eat
1,2,TRUE,FALSE,2,comíais,used to eat
1,2,TRUE,TRUE,2,comían,used to eat
1,3,TRUE,FALSE,2,comían,used to eat
1,2,FALSE,FALSE,4,come,eat
1,2,FALSE,TRUE,4,coma,eat
1,2,TRUE,FALSE,4,comed,eat
1,2,TRUE,TRUE,4,coman,eat
1,2,FALSE,FALSE,5,no comas,do not eat
1,2,FALSE,TRUE,5,no coma,do not eat
1,2,TRUE,FALSE,5,no comáis,do not eat
1,2,TRUE,TRUE,5,no coman,do not eat
2,1,FALSE,FALSE,1,nado,swim
2,2,FALSE,FALSE,1,nadas,swim
2,2,FALSE,TRUE,1,nada,swim
2,3,FALSE,FALSE,1,nada,swims
2,1,TRUE,FALSE,1,nadamos,swim
2,2,TRUE,FALSE,1,nadáis,swim
2,2,TRUE,TRUE,1,nadan,swim
2,3,TRUE,FALSE,1,nadan,swim
2,1,FALSE,FALSE,3,nadé,swam
2,2,FALSE,FALSE,3,nadaste,swam
2,2,FALSE,TRUE,3,nadó,swam
2,3,FALSE,FALSE,3,nadó,swam
2,1,TRUE,FALSE,3,nadamos,swam
2,2,TRUE,FALSE,3,nadasteis,swam
2,2,TRUE,TRUE,3,nadaron,swam
2,3,TRUE,FALSE,3,nadaron,swam
2,1,FALSE,FALSE,2,nadaba,used to swim
2,2,FALSE,FALSE,2,nadabas,used to swim
2,2,FALSE,TRUE,2,nadaba,used to swim
2,3,FALSE,FALSE,2,nadaba,used to swim
2,1,TRUE,FALSE,2,nadábamos,used to swim
2,2,TRUE,FALSE,2,nadabais,used to swim
2,2,TRUE,TRUE,2,nadaban,used to swim
2,3,TRUE,FALSE,2,nadaban,used to swim
2,2,FALSE,FALSE,4,nada,swim
2,2,FALSE,TRUE,4,nade,swim
2,2,TRUE,FALSE,4,nadad,swim
2,2,TRUE,TRUE,4,naden,swim
2,2,FALSE,FALSE,5,no nadas,do not swim
2,2,FALSE,TRUE,5,no nade,do not swim
2,2,TRUE,FALSE,5,no nadéis,do not swim
2,2,TRUE,TRUE,5,no naden,do not eat
3,1,FALSE,FALSE,1,soy,am
3,2,FALSE,FALSE,1,eres,are
3,2,FALSE,TRUE,1,es,are
3,3,FALSE,FALSE,1,es,is
3,1,TRUE,FALSE,1,somos,are
3,2,TRUE,FALSE,1,sois,are
3,2,TRUE,TRUE,1,son,are
3,3,TRUE,FALSE,1,son,are
3,1,FALSE,FALSE,3,fui,was
3,2,FALSE,FALSE,3,fuiste,were
3,2,FALSE,TRUE,3,fue,were
3,3,FALSE,FALSE,3,fue,was
3,1,TRUE,FALSE,3,fuimos,were
3,2,TRUE,FALSE,3,fuisteis,were
3,2,TRUE,TRUE,3,fueron,were
3,3,TRUE,FALSE,3,fueron,were
3,1,FALSE,FALSE,2,era,used to be
3,2,FALSE,FALSE,2,eras,used to be
3,2,FALSE,TRUE,2,era,used to be
3,3,FALSE,FALSE,2,era,used to be
3,1,TRUE,FALSE,2,éramos,used to be
3,2,TRUE,FALSE,2,erais,used to be
3,2,TRUE,TRUE,2,eran,used to be
3,3,TRUE,FALSE,2,eran,used to be
5,1,FALSE,FALSE,1,hago,make/do
5,2,FALSE,FALSE,1,haces,make/do
5,2,FALSE,TRUE,1,hace,make/do
5,3,FALSE,FALSE,1,hace,makes/does
5,1,TRUE,FALSE,1,hacemos,make/do
5,2,TRUE,FALSE,1,hacéis,make/do
5,2,TRUE,TRUE,1,hacen,make/do
5,3,TRUE,FALSE,1,hacen,make/do
5,1,FALSE,FALSE,2,hacía,used to make/do
5,2,FALSE,FALSE,2,hacías,used to make/do
5,2,FALSE,TRUE,2,hacía,used to make/do
5,3,FALSE,FALSE,2,hacía,used to make/do
5,1,TRUE,FALSE,2,hacíamos,used to make/do
5,2,TRUE,FALSE,2,hacíais,used to make/do
5,2,TRUE,TRUE,2,hacían,used to make/do
5,3,TRUE,FALSE,2,hacían,used to make/do
5,1,FALSE,FALSE,3,hice,made/did
5,2,FALSE,FALSE,3,hiciste,made/did
5,2,FALSE,TRUE,3,hizo,made/did
5,3,FALSE,FALSE,3,hizo,made/did
5,1,TRUE,FALSE,3,hicimos,made/did
5,2,TRUE,FALSE,3,hicisteis,made/did
5,2,TRUE,TRUE,3,hicieron,made/did
5,3,TRUE,FALSE,3,hicieron,made/did
6,1,FALSE,FALSE,1,vengo,come
6,2,FALSE,FALSE,1,vienes,come
6,2,FALSE,TRUE,1,viene,come
6,3,FALSE,FALSE,1,viene,comes
6,1,TRUE,FALSE,1,venimos,come
6,2,TRUE,FALSE,1,venís,come
6,2,TRUE,TRUE,1,vienen,come
6,3,TRUE,FALSE,1,vienen,come
6,1,FALSE,FALSE,3,vine,came
6,2,FALSE,FALSE,3,viniste,came
6,2,FALSE,TRUE,3,vino,came
6,3,FALSE,FALSE,3,vino,came
6,1,TRUE,FALSE,3,vinimos,came
6,2,TRUE,FALSE,3,vinisteis,came
6,2,TRUE,TRUE,3,vinieron,came
6,3,TRUE,FALSE,3,vinieron,came
6,1,FALSE,FALSE,2,venía,used to come
6,2,FALSE,FALSE,2,venías,used to come
6,2,FALSE,TRUE,2,venía,used to come
6,3,FALSE,FALSE,2,venía,used to come
6,1,TRUE,FALSE,2,veníamos,used to come
6,2,TRUE,FALSE,2,veníais,used to come
6,2,TRUE,TRUE,2,venían,used to come
6,3,TRUE,FALSE,2,venían,used to come
6,2,FALSE,FALSE,4,ven,come
6,2,FALSE,TRUE,4,venga,come
6,2,TRUE,FALSE,4,venid,come
